DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h
20151105 144 110 0 6 1 53 26
20151106 37 20 9 2 0.5 29 38
20151107 37 19 0 2 0.5 29 41
20151108 82 60 89 3 0.9 46 37
20151109 163 124 0 4 1.6 56 7
20151110 175 132 0 4 1.6 55 5
20151111 137 104 0 4 1.9 55 11
20151112 205 155 136 6 2.5 60 3
20151113 258 208 188 15 3.1 70 4
20151114 324 274 298 17 3.6 83 11
20151115 246 196 0 13 3.2 70 31
20151116 79 58 85 10 1.5 52 18
20151117 82 60 86 7 1.5 45 21
20151118 92 68 90 7 1.1 45 9
20151119 102 76 0 4 1.7 45 2
20151120 88 65 0 9 2.3 43 3
20151121 60 43 0 7 2.1 41 4
20151122 69 50 0 7 1 39 33
20151123 39 27 37 10 0.7 28 51
20151124 65 45 0 8 1.1 52 41
20151125 69 50 22 9 1.1 37 52
20151126 55 38 60 11 0.9 37 56
20151127 264 214 245 36 2.9 93 15
20151128 308 258 254 44 4 102 13
20151129 302 252 0 38 4.9 108 21
20151130 450 343 550 24 6 124 11
20151201 476 464 454 35 7.9 133 9
20151202 24 7 22 3 0.3 16 47
20151203 33 10 33 5 0.4 16 47
20151204 54 31 58 12 0.9 43 46
20151205 77 49 85 17 1.4 61 40
20151206 175 132 162 32 2.8 88 11
20151207 230 180 199 36 3.5 93 9
20151208 295 245 246 20 4.3 92 7
20151209 294 244 10 32 3.6 94 9
20151210 127 96 47 15 1.8 52 55
20151211 75 48 86 15 1.4 60 35
20151212 172 130 174 23 2.8 86 12
20151213 229 179 219 39 3.9 98 12
20151214 207 157 27 16 2.7 75 44
20151215 28 7 13 3 0.4 16 56
20151216 23 8 14 4 0.5 18 45
20151217 84 62 91 18 1.6 62 26
20151218 80 58 85 18 1.8 64 35
20151219 168 127 155 29 3 87 12
20151220 249 199 194 27 3.6 101 10
20151221 280 230 284 23 4.1 104 12
20151222 347 297 427 29 5.3 103 10
20151223 305 255 298 21 4.7 104 32
20151224 209 159 275 18 2.7 80 40
20151225 485 477 510 12 7.3 141 13
20151226 315 265 381 9 4.9 102 10
20151227 75 49 100 13 1.2 53 24
20151228 149 114 175 23 2.3 79 16
20151229 329 279 338 34 4.4 119 9
20151230 104 78 39 11 1.5 54 56
20151231 90 66 128 16 1.8 72 25
20160101 226 176 199 33 3.4 106 12
20160102 316 266 299 35 4.6 124 16
20160103 297 247 296 20 3.5 83 22
20160104 53 37 23 6 0.9 33 59
20160105 63 34 76 11 0.9 38 50
20160106 44 25 40 10 0.9 35 54
20160107 35 13 22 6 0.6 28 54
20160108 54 35 55 13 0.9 43 51
20160109 102 76 102 23 1.9 74 26
20160110 69 46 61 20 1.5 55 35
20160111 32 11 22 6 0.6 25 59
20160112 38 14 27 8 0.7 30 55
20160113 62 26 48 14 1 49 47
20160114 98 73 98 27 1.9 73 40
20160115 132 100 127 33 2.6 84 25
20160116 162 123 137 44 2.5 71 15
20160117 53 37 25 9 0.8 29 68
20160118 45 10 45 4 0.5 18 62
20160119 84 62 90 23 1.7 62 39
20160120 153 117 141 56 3.4 78 11
20160121 173 131 130 28 2.7 68 12
20160122 33 13 33 4 0.6 16 65
20160123 47 9 47 4 0.6 12 63
20160124 47 13 47 6 0.6 24 60
20160125 54 28 48 17 0.8 43 50
20160126 56 35 62 18 0.8 37 58
20160127 129 98 112 38 2.2 79 27
20160128 159 121 139 44 2.3 80 37
20160129 84 62 80 36 1.8 55 28
20160130 69 50 65 21 1.3 48 40
20160131 38 18 26 10 0.6 30 66
20160201 40 13 24 9 0.6 32 68
20160202 62 29 40 16 0.9 49 55
20160203 69 35 48 19 1.2 55 43
20160204 36 13 24 8 0.5 23 71
20160205 38 10 32 6 0.4 16 76
20160206 45 31 45 14 0.8 36 70
20160207 69 50 85 23 0.9 38 74
20160208 238 188 263 53 1 37 74
20160209 60 43 53 20 1.1 41 82
20160210 128 97 115 50 2.5 65 50
20160211 202 152 168 42 3 68 26
20160212 192 144 100 18 2.2 54 41
20160213 34 9 14 5 0.3 12 68
20160214 36 7 16 3 0.4 11 72
20160215 46 7 46 4 0.3 14 71
20160216 38 8 36 5 0.3 18 76
20160217 64 46 44 16 1.1 48 73
20160218 42 14 32 5 0.4 22 83
20160219 40 15 33 5 0.5 26 79
20160220 40 16 24 6 0.5 22 79
20160221 108 81 107 26 1.5 57 55
20160222 92 68 74 16 1.1 40 80
20160223 41 11 18 5 0.4 17 81
20160224 49 26 49 9 0.7 35 70
20160225 45 25 44 10 0.7 36 61
20160226 55 36 60 14 0.8 40 69
20160227 45 22 35 9 0.6 36 71
20160228 48 31 48 7 0.8 33 79
20160229 53 35 47 12 0.7 42 70
20160301 158 120 136 30 1.9 85 50
20160302 212 162 190 32 2.5 110 62
20160303 333 283 283 46 3.5 119 50
20160304 365 315 414 47 4.3 113 22
20160305 170 58 290 3 0.4 23 78
20160306 116 73 182 28 1.6 68 41
20160307 70 34 89 10 0.9 33 84
20160308 39 10 25 3 0.4 16 77
20160309 37 10 26 4 0.4 16 73
20160310 49 11 49 4 0.4 18 75
20160311 51 24 52 8 0.6 36 76
20160312 144 110 138 40 1.8 82 44
20160313 48 30 48 9 0.6 32 92
20160314 103 77 118 21 1.3 64 72
20160315 190 143 198 47 1.6 79 56
20160316 300 250 261 38 2.2 89 120
20160317 338 288 298 31 2.3 103 106
20160318 227 177 55 12 1.4 64 112
20160319 88 65 113 17 1 44 76
20160320 89 66 113 10 1 62 86
20160321 163 124 179 21 1.2 80 116
20160322 138 105 207 25 1.4 75 68
20160323 43 16 37 4 0.5 26 85
20160324 44 13 24 3 0.4 31 87
20160325 48 17 38 4 0.5 38 89
20160326 45 12 29 4 0.4 27 90
20160327 47 17 47 4 0.4 35 92
20160328 123 70 195 16 0.8 66 77
20160329 62 19 74 5 0.4 33 96
20160330 63 30 76 9 0.6 42 93
20160331 199 149 239 33 1.4 73 118
20160401 93 35 135 6 0.4 26 95
20160402 43 9 28 3 0.2 16 86
20160403 52 20 54 3 0.3 26 93
20160404 103 77 114 12 0.6 48 121
20160405 148 113 146 19 1 52 142
20160406 192 144 182 30 2 71 96
20160407 108 81 112 4 1 43 90
20160408 71 25 92 5 0.4 32 97
20160409 148 73 245 11 0.7 55 95
20160410 121 54 192 13 0.8 43 95
20160411 77 41 103 9 0.6 42 89
20160412 105 79 104 6 0.8 58 76
20160413 158 120 134 7 1 64 104
20160414 76 32 101 4 0.3 28 108
20160415 80 59 107 16 1 58 91
20160416 0 0 0 0 0 0 0
20160417 46 16 35 2 0.3 16 91
20160418 50 19 39 3 0.3 25 100
20160419 98 73 104 20 1.3 65 64
20160420 92 68 102 8 0.9 44 121
20160421 127 96 165 7 0.9 58 124
20160422 74 33 97 2 0.3 23 108
20160423 54 23 58 4 0.3 30 97
20160424 113 85 149 22 0.9 53 152
20160425 119 90 141 14 0.7 34 172
20160426 95 71 124 26 1.4 44 141
20160427 120 91 134 9 1.1 62 115
20160428 122 81 100 7 1 49 184
20160429 168 127 160 17 1.4 65 185
20160430 209 159 168 10 1.4 58 232
20160501 234 184 166 26 2.3 43 236
20160502 82 50 103 2 0.5 20 138
20160503 60 23 70 2 0.4 29 101
20160504 68 29 59 4 0.5 49 121
20160505 102 62 153 14 0.9 43 129
20160506 116 57 182 2 0.2 13 100
20160507 74 23 55 3 0.3 29 128
20160508 97 60 103 15 0.7 44 156
20160509 64 36 64 4 0.5 39 116
20160510 100 43 76 4 0.5 36 160
20160511 200 150 166 12 1.1 36 177
20160512 62 34 45 3 0.5 28 114
20160513 73 32 60 6 0.6 43 127
20160514 58 41 33 3 0.5 35 84
20160515 49 34 33 2 0.5 36 87
20160516 75 24 59 3 0.5 43 129
20160517 162 58 104 11 0.6 52 227
20160518 134 61 101 9 0.5 35 197
20160519 184 86 118 15 0.8 38 249
20160520 171 88 110 20 1.1 49 236
20160521 150 68 83 18 0.8 47 215
20160522 142 49 87 8 0.7 51 206
20160523 95 61 106 14 0.9 45 153
20160524 75 19 44 3 0.4 28 129
20160525 66 13 31 3 0.3 25 119
20160526 63 22 61 2 0.3 31 115
20160527 122 48 104 12 0.6 50 184
20160528 138 48 87 10 0.7 38 201
20160529 95 33 76 5 0.5 30 153
20160530 204 82 147 16 1.1 51 283
20160531 138 45 115 11 0.8 36 201
20160601 108 37 73 6 0.7 42 168
20160602 156 53 88 9 0.8 51 221
20160603 160 82 125 21 1.2 61 225
20160604 179 87 127 16 0.9 38 244
20160605 161 71 98 14 0.9 38 226
20160606 189 87 119 7 0.9 32 254
20160607 127 60 0 2 0.8 25 189
20160608 170 129 129 3 1.2 36 223
20160609 153 106 140 7 1 33 218
20160610 123 52 32 2 0.6 20 185
20160611 64 12 30 2 0.4 25 116
20160612 146 71 100 7 1 33 210
20160613 96 47 0 2 0.6 28 155
20160614 50 35 44 2 0.6 26 95
20160615 92 19 40 2 0.5 30 150
20160616 90 26 59 2 0.6 47 148
20160617 59 24 56 2 0.6 47 103
20160618 145 42 72 4 0.7 44 209
20160619 149 65 98 5 0.8 39 213
20160620 166 85 101 5 1 28 231
20160621 175 85 89 2 0.9 30 240
20160622 150 56 85 2 0.7 32 214
20160623 117 76 102 6 1.1 38 178
20160624 70 13 30 2 0.6 30 123
20160625 59 18 38 2 0.4 32 110
20160626 140 41 77 5 0.5 42 203
20160627 98 60 88 7 0.7 39 157
20160628 98 73 0 2 0.7 32 118
20160629 145 111 0 2 0.9 33 166
20160630 130 60 57 2 0.7 33 192
20160701 82 14 32 2 0.4 25 138
20160702 119 47 71 3 0.7 38 180
20160703 137 83 108 8 1 43 200
20160704 173 131 110 5 1.2 32 216
20160705 161 96 104 5 1 30 226
20160706 155 74 106 5 0.9 35 220
20160707 177 110 125 8 1.2 33 242
20160708 146 91 104 5 1.2 34 210
20160709 143 83 93 4 0.8 32 207
20160710 137 91 86 4 0.8 28 200
20160711 129 86 98 7 0.7 29 191
20160712 52 29 54 4 0.6 29 94
20160713 112 20 43 3 0.5 32 173
20160714 80 35 0 4 0.8 42 135
20160715 52 36 40 2 0.7 30 77
20160716 54 38 53 3 0.8 40 82
20160717 154 79 97 3 1.1 42 219
20160718 139 106 130 4 1.3 52 137
20160719 133 101 0 2 1.3 44 53
20160720 48 33 7 2 0.7 18 57
20160721 40 28 39 2 0.8 27 53
20160722 100 75 81 2 1.1 32 154
20160723 158 120 174 2 1.2 34 180
20160724 131 73 118 3 0.9 34 194
20160725 57 40 38 3 0.8 29 108
20160726 93 21 48 3 0.6 24 151
20160727 168 47 0 2 0.7 35 233
20160728 128 50 81 2 0.7 31 190
20160729 158 120 139 2 1.3 30 217
20160730 170 129 48 2 1.6 32 87
20160731 77 56 82 2 1 32 102
20160801 109 71 100 3 1.3 30 169
20160802 96 49 58 2 1 31 155
20160803 153 59 80 3 1 35 218
20160804 155 101 114 2 1.4 33 220
20160805 103 66 88 3 0.8 29 163
20160806 129 98 96 2 1 32 162
20160807 69 20 34 2 0.6 19 122
20160808 95 32 48 3 0.8 26 154
20160809 135 46 70 6 1.2 37 198
20160810 112 84 97 3 0.9 27 158
20160811 114 86 100 3 0.9 29 156
20160812 79 58 73 4 0.9 38 72
20160813 50 22 35 3 0.7 40 45
20160814 104 22 48 3 0.6 38 164
20160815 45 20 42 2 0.6 29 89
20160816 96 24 41 2 0.6 32 155
20160817 87 64 0 3 1 58 47
20160818 99 74 0 2 1.6 42 43
20160819 67 19 42 2 0.9 25 120
20160820 134 54 70 2 1 38 197
20160821 179 54 74 3 1 40 244
20160822 103 50 66 4 0.9 32 163
20160823 95 71 91 6 0.9 42 135
20160824 109 82 110 3 1.1 48 133
20160825 34 17 23 2 0.4 24 67
20160826 45 11 29 2 0.4 33 90
20160827 48 15 39 3 0.4 38 81
20160828 46 12 32 2 0.3 34 92
20160829 66 19 47 3 0.5 45 119
20160830 109 30 65 3 0.6 48 169
20160831 50 16 37 3 0.5 40 88
20160901 39 8 31 3 0.3 31 72
20160902 39 12 34 2 0.4 31 56
20160903 86 21 45 2 0.5 35 143
20160904 106 79 0 5 1 44 166
20160905 54 28 58 2 0.5 33 94
20160906 0 0 0 0 0 0 0
20160907 87 40 65 5 0.7 41 144
20160908 55 23 46 2 0.6 44 105
20160909 53 18 39 3 0.5 42 68
20160910 54 17 44 3 0.5 43 92
20160911 65 32 48 2 0.8 29 117
20160912 72 34 51 2 0.8 38 126
20160913 118 89 98 3 1.1 53 137
20160914 130 99 102 4 1.1 50 174
20160915 111 79 100 4 0.9 42 172
20160916 172 130 125 4 1.1 39 187
20160917 57 40 0 2 0.8 37 49
20160918 42 23 22 2 0.6 33 18
20160919 44 12 29 2 0.4 35 74
20160920 59 21 44 3 0.5 47 95
20160921 97 68 117 5 1 77 44
20160922 137 104 129 7 1.1 59 113
20160923 168 127 172 3 1.2 49 182
20160924 156 119 203 4 1.1 54 174
20160925 211 161 193 4 1.5 49 96
20160926 80 59 109 2 1.2 46 61
20160927 33 23 29 2 0.6 24 59
20160928 50 16 38 3 0.4 40 58
20160929 75 53 90 5 0.7 60 95
20160930 135 103 138 7 0.9 76 145
20161001 220 170 202 11 1.3 86 118
20161002 233 183 201 6 1.4 72 132
20161003 159 121 140 3 1.1 58 132
20161004 47 31 44 3 1.1 37 34
20161005 83 61 91 2 1.2 42 57
20161006 95 71 0 4 1.6 48 11
20161007 55 39 17 2 1.6 43 15
20161008 33 13 29 2 0.5 26 60
20161009 67 33 64 4 0.7 53 33
20161010 122 92 127 10 1.2 79 31
20161011 149 114 130 8 1.4 65 62
20161012 107 80 102 6 1.2 64 51
20161013 206 156 189 5 1.6 75 78
20161014 292 242 258 6 2 93 73
20161015 236 186 226 4 1.9 88 4
20161016 153 117 137 3 1 58 55
20161017 85 63 101 2 0.9 53 61
20161018 160 122 158 6 1.8 72 10
20161019 278 228 228 5 2.3 83 38
20161020 115 87 0 6 1.4 54 27
20161021 60 43 0 2 0.8 39 33
20161022 38 15 25 2 0.6 30 36
20161023 55 28 52 4 0.6 44 38
20161024 87 64 113 3 1.2 58 4
20161025 133 101 135 3 1.5 74 8
20161026 69 42 88 4 0.8 50 46
20161027 63 30 66 5 1 50 11
20161028 38 11 29 2 0.4 30 58
20161029 59 26 62 4 0.6 47 42
20161030 66 44 81 5 0.8 42 54
20161031 29 9 25 4 0.3 19 57
20161101 69 45 74 9 0.7 55 37
20161102 140 107 149 10 1.5 82 23
20161103 243 193 241 9 2.6 104 11
20161104 292 242 271 6 3.4 119 12
20161105 230 180 203 5 3.1 95 36
20161106 95 71 97 10 1.2 56 40
20161107 53 37 43 3 0.8 39 50
20161108 67 39 71 7 0.8 53 36
20161109 208 158 194 14 2.5 86 5
20161110 199 149 178 8 1.8 70 15
20161111 110 83 124 7 1.7 65 16
20161112 100 75 124 10 1.5 66 28
20161113 132 100 165 11 2.3 72 4
20161114 62 39 73 4 0.9 35 61
20161115 79 45 84 13 1.5 63 23
20161116 132 100 147 16 2.2 80 21
20161117 149 114 165 22 2.5 70 6
20161118 242 192 280 19 3.7 87 3
20161119 165 125 133 9 1.8 65 49
20161120 70 51 0 4 1.1 41 25
20161121 30 10 21 3 0.4 15 60
20161122 28 8 21 4 0.4 21 55
20161123 44 19 33 8 0.6 35 43
20161124 102 76 107 18 1.5 70 25
20161125 214 164 205 24 2.6 97 8
20161126 315 265 361 22 3.5 117 13
20161127 68 49 80 7 0.9 45 58
20161128 97 63 101 18 1.7 77 16
20161129 129 98 146 26 2.6 81 4
20161130 117 88 128 15 2.1 67 53
20161201 60 33 56 9 0.8 48 57
20161202 129 98 131 19 2.1 85 17
20161203 259 209 272 24 3.4 113 10
20161204 302 252 284 18 3.6 104 17
20161205 60 43 50 8 1 43 61
20161206 112 84 128 21 2.3 92 11
20161207 170 129 169 23 2.7 100 15
20161208 114 86 119 11 1.7 53 66
20161209 54 25 45 9 0.8 43 48
20161210 80 49 74 14 1.4 64 24
20161211 219 169 204 35 3.5 101 8
20161212 271 221 240 39 3 103 15
20161213 68 49 32 9 1.2 50 43
20161214 58 28 51 11 0.8 46 43
20161215 54 27 53 10 0.9 43 59
20161216 149 114 149 22 2.2 92 14
20161217 246 196 224 32 3.3 104 11
20161218 271 221 239 25 3.5 102 14
20161219 273 223 253 22 4.1 111 14
20161220 418 376 415 8 8 135 6
20161221 431 396 415 12 8 155 9
20161222 79 58 57 6 1.3 35 59
20161223 62 34 65 9 0.8 49 39
20161224 160 122 152 26 2.7 90 10
20161225 195 146 168 30 2.8 96 5
20161226 59 41 45 15 0.9 47 50
20161227 59 42 63 9 0.9 45 51
20161228 87 64 64 10 1.1 42 45
20161229 88 65 94 12 1.1 53 31
20161230 262 212 255 19 3.3 100 8
20161231 351 301 356 21 4.6 129 8
20170101 470 454 516 8 6.7 141 6
20170102 248 198 332 13 3.8 102 38
20170103 348 298 386 17 5.9 144 17
20170104 389 339 435 18 7.4 150 13
20170105 270 220 303 16 5.3 109 11
20170106 248 198 199 25 4.3 108 14
20170107 216 166 171 18 3.3 82 10
20170108 54 34 58 10 0.9 34 55
20170109 62 36 74 7 0.8 39 49
20170110 45 25 45 8 0.7 36 61
20170111 94 57 83 19 1.6 75 18
20170112 62 41 61 12 0.9 49 48
20170113 34 8 22 5 0.4 22 68
20170114 57 20 42 11 0.9 45 50
20170115 73 53 71 11 1 50 31
20170116 123 93 106 18 1.7 67 8
20170117 178 134 153 21 2.1 73 19
20170118 64 38 60 10 0.8 51 38
20170119 69 44 87 14 1.2 37 67
20170120 45 25 41 9 0.8 36 59
20170121 46 24 46 9 0.7 29 72
20170122 53 25 37 12 0.8 42 50
20170123 62 36 51 14 1 49 44
20170124 118 89 107 29 2.1 76 28
20170125 228 178 185 39 3.3 94 29
20170126 202 152 113 26 2.5 61 70
20170127 104 78 133 25 0.8 31 76
20170128 395 345 423 84 2.7 71 26
20170129 56 30 61 9 0.6 15 71
20170130 43 29 43 11 0.6 22 72
20170131 102 76 82 27 1.3 42 60
20170201 55 38 59 16 0.6 28 67
20170202 108 81 105 30 1.6 63 50
20170203 216 166 196 45 2.7 87 49
20170204 295 245 300 49 3.2 93 55
20170205 43 12 18 7 0.5 25 85
20170206 38 15 28 8 0.5 30 70
20170207 107 80 98 21 1.6 62 37
20170208 42 29 41 7 0.7 25 80
20170209 41 7 22 3 0.3 12 81
20170210 43 7 23 3 0.3 17 85
20170211 73 53 73 21 0.9 49 75
20170212 140 107 138 42 2.4 81 41
20170213 113 85 118 25 2.1 70 67
20170214 233 183 184 31 2.9 99 19
20170215 282 232 185 38 3.2 110 46
20170216 129 98 41 18 1.3 52 68
20170217 49 24 49 8 0.6 32 78
20170218 117 88 124 27 1.7 77 50
20170219 124 94 138 23 1.4 59 84
20170220 37 12 34 5 0.5 27 74
20170221 83 61 90 15 1.3 58 33
20170222 100 75 38 7 1 40 71
20170223 43 19 34 7 0.6 34 77
20170224 58 25 39 9 0.8 46 75
20170225 43 11 23 6 0.5 32 85
20170226 68 29 49 10 0.8 54 71
20170227 99 66 96 17 1.4 79 52
20170228 43 14 29 6 0.5 34 86
20170301 47 8 41 3 0.3 13 93
20170302 68 40 80 13 0.9 54 68
20170303 109 82 142 23 1.4 68 59
20170304 115 87 111 26 1.6 74 81
20170305 42 12 33 4 0.4 19 84
20170306 45 16 45 6 0.6 34 80
20170307 40 7 24 3 0.3 15 80
20170308 45 10 30 3 0.4 24 90
20170309 49 13 35 4 0.5 39 82
20170310 80 34 66 12 0.8 64 85
20170311 66 44 81 15 0.8 48 87
20170312 44 7 28 3 0.3 13 87
20170313 44 11 30 5 0.4 32 87
20170314 54 21 52 8 0.6 43 85
20170315 88 65 97 22 1.1 69 76
20170316 148 113 156 25 1.3 87 80
20170317 163 124 167 19 1.1 71 77
20170318 195 146 179 16 1.2 68 135
20170319 272 222 248 33 2 81 145
20170320 180 136 196 19 1.4 73 60
20170321 115 87 122 7 0.8 47 98
20170322 179 135 174 19 1.3 80 74
20170323 159 121 116 6 1.6 59 54
20170324 82 60 0 2 1 49 49
20170325 49 34 29 3 0.8 35 83
20170326 45 12 28 3 0.3 23 90
20170327 45 17 37 3 0.4 35 90
20170328 82 60 95 9 0.6 51 101
20170329 148 113 140 11 0.9 64 106
20170330 114 86 134 16 1.2 56 82
20170331 48 20 48 4 0.4 34 89
20170401 69 31 78 7 0.6 55 86
20170402 93 68 113 14 1.1 74 96
20170403 165 125 172 21 1.2 78 154
20170404 163 124 149 19 1.1 60 100
20170405 83 61 76 5 0.6 29 128
20170406 129 98 134 6 0.9 45 125
20170407 102 76 123 8 0.8 48 74
20170408 104 78 138 7 1 63 60
20170409 87 64 104 7 0.9 47 95
20170410 89 66 120 9 0.7 59 91
20170411 59 27 68 4 0.4 34 95
20170412 71 29 92 5 0.6 52 93
20170413 92 54 134 14 1.1 66 76
20170414 93 59 136 6 0.9 67 98
20170415 71 36 92 5 0.5 52 117
20170416 128 97 178 17 1 72 107
20170417 162 123 219 8 0.9 56 94
20170418 66 24 82 2 0.3 22 97
20170419 89 44 119 7 0.8 71 35
20170420 70 37 90 3 0.7 44 89
20170421 57 19 63 2 0.3 23 102
20170422 87 45 124 8 0.5 44 120
20170423 63 24 76 4 0.4 24 113
20170424 67 34 84 5 0.5 31 111
20170425 41 13 41 3 0.3 26 76
20170426 52 14 41 3 0.3 30 102
20170427 55 15 50 2 0.3 35 105
20170428 63 23 68 3 0.4 39 115
20170429 79 40 107 3 0.4 43 124
20170430 108 50 165 5 0.5 44 136
20170501 81 39 111 8 0.7 46 121
20170502 129 61 134 10 1 53 191
20170503 93 69 118 9 0.8 47 118
20170504 500 359 820 2 0.3 23 100
20170505 411 172 511 4 0.3 24 89
20170506 74 33 97 3 0.4 37 112
20170507 82 28 78 5 0.4 41 138
20170508 102 56 114 8 0.6 55 162
20170509 100 44 97 7 0.5 26 160
20170510 79 39 75 4 0.5 32 134
20170511 92 30 134 3 0.3 32 98
20170512 109 45 168 5 0.4 26 142
20170513 63 19 76 2 0.3 18 90
20170514 68 12 38 2 0.3 16 121
20170515 80 22 65 7 0.6 26 136
20170516 127 43 91 10 0.6 31 189
20170517 184 63 121 9 0.7 37 249
20170518 201 81 147 11 0.8 51 270
20170519 185 82 153 9 0.8 40 250
20170520 169 57 128 9 0.7 38 234
20170521 113 56 93 15 0.9 27 174
20170522 54 37 58 7 1.1 37 52
20170523 70 19 40 3 0.4 36 123
20170524 82 17 55 4 0.4 46 138
20170525 100 21 84 6 0.6 39 160
20170526 149 46 98 9 0.6 51 213
20170527 191 69 121 21 1.3 47 256
20170528 187 88 140 17 1.4 36 252
20170529 70 28 89 8 0.7 26 108
20170530 99 42 72 3 0.7 39 158
20170531 140 65 106 4 0.8 45 203
20170601 120 23 58 5 0.6 30 181
20170602 56 22 62 11 1 38 69
20170603 81 29 58 5 0.7 38 137
20170604 138 48 93 11 0.6 51 201
20170605 146 65 117 16 0.9 61 210
20170606 53 37 50 2 0.5 25 94
20170607 93 47 57 3 0.6 32 151
20170608 72 25 56 3 0.6 57 116
20170609 145 29 91 5 0.6 51 209
20170610 80 21 70 11 0.8 34 136
20170611 120 33 86 7 0.7 49 181
20170612 87 35 80 17 1.1 45 144
20170613 90 41 68 5 0.8 44 147
20170614 120 37 65 3 0.7 48 182
20170615 156 38 94 3 0.7 56 221
20170616 158 59 129 7 0.6 41 223
20170617 199 82 159 11 0.9 36 264
20170618 187 70 130 11 0.8 31 252
20170619 151 37 74 3 0.6 27 216
20170620 155 31 64 4 0.6 27 220
20170621 156 48 99 8 0.9 28 221
20170622 52 33 0 2 0.8 25 102
20170623 51 19 0 2 0.7 20 101
20170624 65 21 40 3 0.5 23 117
20170625 103 26 46 2 0.5 33 163
20170626 131 24 49 2 0.5 39 194
20170627 198 70 104 7 0.8 40 263
20170628 183 97 129 8 1.2 43 248
20170629 138 56 89 6 0.8 31 201
20170630 194 71 114 3 0.8 39 259
20170701 191 90 137 5 1 42 256
20170702 181 88 111 7 1 33 246
20170703 120 60 78 3 0.8 30 182
20170704 94 47 63 3 0.8 39 152
20170705 134 80 87 3 1 37 197
20170706 94 70 82 4 1.4 32 92
20170707 113 32 55 3 0.7 20 174
20170708 156 42 72 2 0.7 31 221
20170709 169 73 101 3 1 29 234
20170710 132 25 57 2 0.5 34 195
20170711 205 48 94 4 0.8 44 288
20170712 186 73 131 4 0.9 39 251
20170713 130 61 93 4 0.8 23 193
20170714 125 34 71 3 0.7 34 187
20170715 94 36 53 2 0.9 27 152
20170716 169 67 88 3 1.2 34 234
20170717 118 54 71 3 1 29 179
20170718 87 60 92 3 0.9 27 144
20170719 107 74 86 2 0.8 25 167
20170720 128 97 115 2 0.8 31 170
20170721 50 22 26 2 0.7 27 99
20170722 40 23 40 2 0.6 31 76
20170723 62 44 64 2 0.7 39 104
20170724 57 40 55 2 0.8 41 44
20170725 80 32 53 4 0.8 34 135
20170726 42 23 41 2 0.7 32 84
20170727 62 41 67 3 0.9 49 106
20170728 69 28 61 2 0.7 44 122
20170729 90 32 61 2 0.7 39 147
20170730 125 38 68 3 0.7 36 187
20170731 194 80 105 2 1 36 259
20170801 89 66 82 2 0.9 30 143
20170802 55 33 59 4 1.1 25 89
20170803 90 22 62 2 0.6 20 148
20170804 107 21 45 3 0.6 38 167
20170805 131 27 58 3 0.6 34 194
20170806 78 17 37 2 0.5 31 133
20170807 88 11 37 2 0.4 31 145
20170808 155 29 70 3 0.7 39 220
20170809 98 24 43 2 0.6 27 157
20170810 123 64 91 2 0.8 33 185
20170811 117 88 129 2 1.1 38 135
20170812 48 32 39 2 0.8 38 83
20170813 57 40 51 2 0.9 37 96
20170814 91 28 43 2 0.8 27 149
20170815 103 55 78 5 0.9 32 163
20170816 80 55 67 2 0.9 37 136
20170817 90 22 40 2 0.7 28 148
20170818 73 53 76 3 1.2 55 119
20170819 70 42 54 2 1 33 123
20170820 95 60 73 3 1.2 38 153
20170821 130 72 98 2 1 39 193
20170822 97 72 0 2 0.9 35 94
20170823 55 20 34 2 0.7 28 106
20170824 50 14 43 2 0.5 40 79
20170825 49 10 38 3 0.4 39 77
20170826 60 15 56 3 0.5 48 51
20170827 38 17 30 2 0.5 28 75
20170828 35 19 29 2 0.5 28 66
20170829 51 17 51 4 0.5 37 84
20170830 88 52 87 4 0.8 44 145
20170831 110 83 103 2 0.9 35 115
20170901 185 139 157 3 1.5 41 140
20170902 135 103 93 3 1.1 34 137
20170903 97 58 82 4 0.8 32 156
20170904 115 87 110 4 0.9 36 148
20170905 56 39 62 3 0.7 37 83
20170906 65 16 50 3 0.5 41 118
20170907 140 48 105 3 0.8 49 203
20170908 180 117 152 4 1.2 43 245
20170909 133 101 118 7 1.8 34 169
20170910 122 92 112 4 1.2 43 83
20170911 50 18 38 2 0.5 40 87
20170912 66 22 61 2 0.5 45 119
20170913 120 73 128 6 1.1 59 182
20170914 112 84 121 5 1 51 157
20170915 80 59 100 4 0.9 63 117
20170916 120 91 124 4 1.1 63 150
20170917 45 11 38 3 0.4 36 86
20170918 75 23 74 3 0.6 58 130
20170919 58 12 48 3 0.5 46 81
20170920 62 14 57 3 0.4 49 89
20170921 99 58 122 8 1 79 134
20170922 72 24 94 2 0.5 41 81
20170923 121 50 192 7 0.9 75 101
20170924 104 64 158 4 1 62 141
20170925 103 77 130 8 1.5 47 131
20170926 65 47 68 2 0.7 43 55
20170927 62 28 61 4 1 49 28
20170928 39 10 39 4 0.3 30 64
20170929 92 45 102 5 0.8 73 65
20170930 147 112 152 5 1.2 69 110
20171001 92 68 76 2 0.7 49 93
20171002 45 13 45 4 0.5 35 37
20171003 44 16 41 2 0.4 35 51
20171004 56 30 62 5 0.6 40 69
20171005 75 55 79 5 0.7 41 85
20171006 90 67 90 6 0.8 50 87
20171007 149 114 127 3 1.1 75 14
20171008 163 124 122 3 1.2 68 8
